name,category,price,unit,stock,image,description,sourcing,storage,variations
"Taro leaves (अरबी के पत्ते)","Vegetables",160,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Taro leaves (अरबी के पत्ते) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":45,""stock"":40},{""weight"":""500g"",""price"":83,""stock"":50},{""weight"":""1 kg"",""price"":160,""stock"":60},{""weight"":""2 kg"",""price"":312,""stock"":30}]"
"Potato (आलू )","Vegetables",28,"1 kg",80,"https://images.unsplash.com/photo-1518977676601-b53f82aba655?auto=format&fit=crop&w=600&q=80","100% farm-fresh Potato (आलू ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":8,""stock"":40},{""weight"":""500g"",""price"":15,""stock"":50},{""weight"":""1 kg"",""price"":28,""stock"":60},{""weight"":""2 kg"",""price"":55,""stock"":30}]"
"Desi Tomato (देसी टमाटर)","Vegetables",48,"1 kg",80,"https://images.unsplash.com/photo-1546470427-e26264be0b11?auto=format&fit=crop&w=600&q=80","100% farm-fresh Desi Tomato (देसी टमाटर) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":13,""stock"":40},{""weight"":""500g"",""price"":25,""stock"":50},{""weight"":""1 kg"",""price"":48,""stock"":60},{""weight"":""2 kg"",""price"":94,""stock"":30}]"
"Onion (प्याज )","Vegetables",55,"1 kg",80,"https://images.unsplash.com/photo-1618512496248-a07fe83aa8cb?auto=format&fit=crop&w=600&q=80","100% farm-fresh Onion (प्याज ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":15,""stock"":40},{""weight"":""500g"",""price"":29,""stock"":50},{""weight"":""1 kg"",""price"":55,""stock"":60},{""weight"":""2 kg"",""price"":107,""stock"":30}]"
"Ginger (अदरक )","Vegetables",246,"1 kg",80,"https://images.unsplash.com/photo-1615485290382-441e4d049cb5?auto=format&fit=crop&w=600&q=80","100% farm-fresh Ginger (अदरक ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":69,""stock"":40},{""weight"":""500g"",""price"":128,""stock"":50},{""weight"":""1 kg"",""price"":246,""stock"":60},{""weight"":""2 kg"",""price"":480,""stock"":30}]"
"Ash gourd (सफेद कद्दू)","Vegetables",96,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Ash gourd (सफेद कद्दू) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":27,""stock"":40},{""weight"":""500g"",""price"":50,""stock"":50},{""weight"":""1 kg"",""price"":96,""stock"":60},{""weight"":""2 kg"",""price"":187,""stock"":30}]"
"Medium Size Garlic (लहसुन मीडियम साइज )","Vegetables",230,"1 kg",80,"https://images.unsplash.com/photo-1540148426945-6cf22a6b2383?auto=format&fit=crop&w=600&q=80","100% farm-fresh Medium Size Garlic (लहसुन मीडियम साइज ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":64,""stock"":40},{""weight"":""500g"",""price"":120,""stock"":50},{""weight"":""1 kg"",""price"":230,""stock"":60},{""weight"":""2 kg"",""price"":449,""stock"":30}]"
"Peeled garlic (चिला हुआ लहसुन)","Vegetables",190,"1 kg",80,"https://images.unsplash.com/photo-1540148426945-6cf22a6b2383?auto=format&fit=crop&w=600&q=80","100% farm-fresh Peeled garlic (चिला हुआ लहसुन) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":53,""stock"":40},{""weight"":""500g"",""price"":99,""stock"":50},{""weight"":""1 kg"",""price"":190,""stock"":60},{""weight"":""2 kg"",""price"":371,""stock"":30}]"
"Big Size Garlic ( लहसुन बिग साइज )","Vegetables",280,"1 kg",80,"https://images.unsplash.com/photo-1540148426945-6cf22a6b2383?auto=format&fit=crop&w=600&q=80","100% farm-fresh Big Size Garlic ( लहसुन बिग साइज ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":78,""stock"":40},{""weight"":""500g"",""price"":146,""stock"":50},{""weight"":""1 kg"",""price"":280,""stock"":60},{""weight"":""2 kg"",""price"":546,""stock"":30}]"
"Green Chili - teekhi (हरी मिर्च - तीखी)","Vegetables",99,"1 kg",80,"https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=600&q=80","100% farm-fresh Green Chili - teekhi (हरी मिर्च - तीखी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":28,""stock"":40},{""weight"":""500g"",""price"":51,""stock"":50},{""weight"":""1 kg"",""price"":99,""stock"":60},{""weight"":""2 kg"",""price"":193,""stock"":30}]"
