name,category,price,mrp,unit,stock,image,description,sourcing,storage,variations
"Beetroot (चुकंदर)","Vegetables",20,26,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406063210.jpg","Farm fresh Beetroot (चुकंदर) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":20,""stock"":50},{""weight"":""500 Gram"",""price"":20,""stock"":50},{""weight"":""1 Kg"",""price"":68,""stock"":50},{""weight"":""2 Kg"",""price"":130,""stock"":50},{""weight"":""5 Kg"",""price"":310,""stock"":50}]"
"Bharta Brinjal ( बैगन )","Vegetables",15,20,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406063247.jpg","Farm fresh Bharta Brinjal ( बैगन ) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":15,""stock"":50},{""weight"":""500 Gram"",""price"":15,""stock"":50},{""weight"":""1 Kg"",""price"":51,""stock"":50},{""weight"":""2 Kg"",""price"":98,""stock"":50},{""weight"":""5 Kg"",""price"":233,""stock"":50}]"
"Bitter gourd (करेला)","Vegetables",25,33,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406063343.jpg","Farm fresh Bitter gourd (करेला) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":25,""stock"":50},{""weight"":""500 Gram"",""price"":25,""stock"":50},{""weight"":""1 Kg"",""price"":85,""stock"":50},{""weight"":""2 Kg"",""price"":163,""stock"":50},{""weight"":""5 Kg"",""price"":388,""stock"":50}]"
"Bottle gourd (लौकी)","Vegetables",15,20,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406063416.jpg","Farm fresh Bottle gourd (लौकी) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":15,""stock"":50},{""weight"":""500 Gram"",""price"":15,""stock"":50},{""weight"":""1 Kg"",""price"":51,""stock"":50},{""weight"":""2 Kg"",""price"":98,""stock"":50},{""weight"":""5 Kg"",""price"":233,""stock"":50}]"
"Broccoli (ब्रोकोली)","Exotics",25,33,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406063600.jpg","Farm fresh Broccoli (ब्रोकोली) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Store in cool dry basket","[{""weight"":""250 Gram"",""price"":25,""stock"":50},{""weight"":""500 Gram"",""price"":25,""stock"":50},{""weight"":""1 Kg"",""price"":85,""stock"":50},{""weight"":""2 Kg"",""price"":163,""stock"":50},{""weight"":""5 Kg"",""price"":388,""stock"":50}]"
"Cabbage (पत्ता गोभी)","Vegetables",12,16,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406063638.jpg","Farm fresh Cabbage (पत्ता गोभी) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":12,""stock"":50},{""weight"":""500 Gram"",""price"":12,""stock"":50},{""weight"":""1 Kg"",""price"":41,""stock"":50},{""weight"":""2 Kg"",""price"":78,""stock"":50},{""weight"":""5 Kg"",""price"":186,""stock"":50}]"
"Capsicum (शिमला मिर्च)","Vegetables",15,20,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406070443.jpg","Farm fresh Capsicum (शिमला मिर्च) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":15,""stock"":50},{""weight"":""500 Gram"",""price"":15,""stock"":50},{""weight"":""1 Kg"",""price"":51,""stock"":50},{""weight"":""2 Kg"",""price"":98,""stock"":50},{""weight"":""5 Kg"",""price"":233,""stock"":50}]"
"Carrot (गाजर)","Vegetables",25,33,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406063707.jpg","Farm fresh Carrot (गाजर) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":25,""stock"":50},{""weight"":""500 Gram"",""price"":25,""stock"":50},{""weight"":""1 Kg"",""price"":85,""stock"":50},{""weight"":""2 Kg"",""price"":163,""stock"":50},{""weight"":""5 Kg"",""price"":388,""stock"":50}]"
"Cauliflower (फूलगोभी)","Vegetables",25,33,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406063805.jpg","Farm fresh Cauliflower (फूलगोभी) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":25,""stock"":50},{""weight"":""500 Gram"",""price"":25,""stock"":50},{""weight"":""1 Kg"",""price"":85,""stock"":50},{""weight"":""2 Kg"",""price"":163,""stock"":50},{""weight"":""5 Kg"",""price"":388,""stock"":50}]"
"Coriander (धनिया)","Vegetables",20,26,"250 Gram",100,"https://rambhaji.com/Admin/Product/20240406063935.jpg","Farm fresh Coriander (धनिया) directly from Bhopal farmers & local mandis. Chemical-free, pesticide-monitored, handpicked and ozone washed for maximum purity and taste.","Bhopal Local Farmers & Krishi Mandi (Ram Bhaji Bhopal)","Keep refrigerated in mesh bag","[{""weight"":""250 Gram"",""price"":20,""stock"":50},{""weight"":""500 Gram"",""price"":20,""stock"":50},{""weight"":""1 Kg"",""price"":68,""stock"":50},{""weight"":""2 Kg"",""price"":130,""stock"":50},{""weight"":""5 Kg"",""price"":310,""stock"":50}]"
