name,category,price,mrp,unit,stock,image,description,sourcing,storage,variations
"Oyster Mushrooms","Exotics",72,90,"100g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/oyster-mushrooms-SubziQuick Farm Fresh-farms.png?v=1788350613","Fresh Oyster Mushrooms Grown Clean. Picked Fresh. Packed with Nutrition. Soft, delicate, and incredibly flavourful — these Fresh Oyster Mushrooms are grown in a controlled environment without pesticides. Perfect for stir-fries, soups, pasta or as a c...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""100g Pack"",""price"":72,""stock"":50},{""weight"":""200g (Twin Pack)"",""price"":137,""stock"":40}]"
"Lettuce Leaves","Exotics",64,0,"200g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/lettuce-clean.png?v=1787584425","Locarno Lettuce (SubziQuick Farm Fresh Grown) – Fresh Hydroponic Lettuce Leaves in Bhopal Harvested fresh. Not stored for days. Fresh Locarno lettuce leaves grown hydroponically at SubziQuick Certified Farm in Bhopal. Crisp texture, clean handling, and consistent freshness—read...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""200g Pack"",""price"":64,""stock"":50},{""weight"":""400g (Twin Pack)"",""price"":122,""stock"":40}]"
"Baby Eggplant (Small Brinjal)","Exotics",40,50,"250g Pack",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/baby_eggplant_SubziQuick Farm Fresh_farms.png?v=1777704972","Baby Eggplant (Small Brinjal) (SubziQuick Farm Fresh Grown) – Fresh Brinjal in Bhopal Harvested fresh. Not stored for days. Fresh baby eggplant grown at SubziQuick Certified Farm in Bhopal. Small, tender, and consistent—ideal for stuffed dishes and everyday cooking. Small size....","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g Pack"",""price"":40,""stock"":50},{""weight"":""500g (Twin Pack)"",""price"":76,""stock"":40}]"
"Raspberries","Fruits",625,781,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/raspberries-clean.png?v=1787584315","Fresh Raspberries — plump, jewel-red and delicately sweet-tart. Hand-sorted and delivered fresh in a 125 g box by SubziQuick Certified Farm in Bhopal. Sourced fresh and handled gently to protect every berry Packed as a 125 g punnet Rich in vitamin C, fibre and an...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g"",""price"":188,""stock"":40},{""weight"":""500g"",""price"":344,""stock"":50},{""weight"":""1 kg"",""price"":625,""stock"":60}]"
"Residue-Free Broccoli","Exotics",149,186,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/residue-free-broccoli-clean.png?v=1787584465","Residue-Free Broccoli (SubziQuick Farm Fresh Trusted) – Fresh Broccoli in Bhopal Selected from farms we trust. Not blindly sourced. Fresh broccoli sourced from partner farms we’ve personally vetted. Clean handling, consistent quality, and chosen to meet our standar...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g"",""price"":45,""stock"":40},{""weight"":""500g"",""price"":82,""stock"":50},{""weight"":""1 kg"",""price"":149,""stock"":60}]"
"Ragi Atta","Vegetables",100,105,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/ragi-atta-fixed.png?v=1787586197","Ragi Atta (Finger Millet Flour) Premium Ragi Atta (Finger Millet Flour) , made from carefully sourced ragi grains and milled to a consistent texture. Clean, unpolished flour suitable for everyday cooking and traditional preparations. Buy Ragi Atta On...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":30,""stock"":40},{""weight"":""500g"",""price"":55,""stock"":50},{""weight"":""1 kg"",""price"":100,""stock"":60}]"
"Arvi (Colocasia)","Vegetables",45,56,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/arvi-colocasia-fixed.png?v=1787586518","Arvi (Colocasia) (SubziQuick Farm Fresh Daily) – Cleaned & Fresh Arvi in Bhopal Sourced daily. Cleaned before delivery. Fresh arvi sourced from the Farm Direct and handled at SubziQuick Certified Farm. Selected for quality, sorted properly, and cleaned before reaching you—ready for e...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":14,""stock"":40},{""weight"":""500g"",""price"":25,""stock"":50},{""weight"":""1 kg"",""price"":45,""stock"":60}]"
"Pomegranate (Anar)","Fruits",220,275,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/pomegranate-anar-clean.png?v=1787584321","Organic Pomegranate: Nature's Superfruit Organic pomegranates are nature's ruby jewels, grown without the use of harmful pesticides or synthetic fertilizers. Packed with antioxidants, vitamins, and minerals, they are not only delicious but also a pow...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g"",""price"":66,""stock"":40},{""weight"":""500g"",""price"":121,""stock"":50},{""weight"":""1 kg"",""price"":220,""stock"":60}]"
"Mausambi","Vegetables",160,200,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/mausambi-clean.png?v=1787584435","Mausambi (Sweet Lime) (SubziQuick Farm Fresh Trusted) – Fresh Mausambi in Bhopal Selected from farms we trust. Not blindly sourced. Fresh mausambi sourced from partner farms we’ve personally vetted. Known for its mild sweetness and juice content—selected for consis...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":48,""stock"":40},{""weight"":""500g"",""price"":88,""stock"":50},{""weight"":""1 kg"",""price"":160,""stock"":60}]"
"Pears","Fruits",360,450,"1 kg",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/pears-clean.png?v=1787584341","Fresh Green Pears (Nashpati) — crisp, juicy and naturally sweet. Hand-picked from trusted orchards and ozone-washed at SubziQuick Certified Farm, then delivered fresh to your door in Bhopal. Sourced from trusted, residue-free orchards Ozone-washed & carefully han...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""250g"",""price"":108,""stock"":40},{""weight"":""500g"",""price"":198,""stock"":50},{""weight"":""1 kg"",""price"":360,""stock"":60}]"
"Nagaland Kew Pineapple (Slice)","Fruits",240,300,"1 Pc",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/nagaland-kew-pineapple-slice-fixed.png?v=1787586290","Nagaland Kew Pineapple Slices — freshly cut, ready-to-eat pieces of premium Kew pineapple from the hills of Nagaland. All the honey-sweet juiciness, with none of the peeling or mess. Why you'll love it 🍍 Ready to eat — freshly cut, no peeling, no pr...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""1 Pc"",""price"":240,""stock"":0}]"
"Nagaland Kew Pineapple","Fruits",220,275,"1 Pc",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/nagaland-kew-pineapple-fixed.png?v=1787586360","Nagaland Kew Pineapple — sun-ripened in the misty hills of Nagaland and hand-selected for exceptional sweetness. The prized Kew variety is loved across India for its golden, honey-sweet flesh, low acidity and mouth-watering juice. Why you'll love it ...","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Store at room temperature","[{""weight"":""1 Pc"",""price"":220,""stock"":0}]"
"Garo Hill Ginger","Vegetables",40,50,"100g",100,"https://cdn.shopify.com/s/files/1/0851/2638/1886/files/garo-hill-ginger-fixed.png?v=1787586459","Bhopal farm-fresh Garo Hill Ginger. Harvested before delivery, ozone washed, pesticide-free, no shortcuts. Pure farm nutrition directly to your doorstep in Bhopal.","Bhopal Local Farm Harvest (SubziQuick Certified Farm Network)","Keep refrigerated in vegetable crisper","[{""weight"":""100g"",""price"":40,""stock"":0}]"
