name,category,price,mrp,unit,stock,image,description,sourcing,storage,variations
"Coconut (नया नारियल)","Fruits",80,104,"1 piece",100,"https://SubziQuick Express Harvest.in/assets/Coconut-Bta4lEr0.webp","Fresh tender coconut water – nature’s energy drink.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Store at room temp","[{""weight"":""1 piece"",""price"":80,""stock"":50},{""weight"":""2 pieces"",""price"":152,""stock"":50},{""weight"":""3 pieces"",""price"":224,""stock"":50},{""weight"":""4 pieces"",""price"":80,""stock"":50},{""weight"":""5 pieces"",""price"":368,""stock"":50}]"
"Pahadi Aalu (New) (नया आलू)","Vegetables",23,30,"250g",100,"https://SubziQuick Express Harvest.in/assets/potato-DfwNLs65.webp","Farm-fresh Pahadi Aalu, perfect for parathas and fries. Low moisture, high nutrition. Sourced from local Bhopal farms.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":15,""stock"":50},{""weight"":""1 kg"",""price"":23,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":44,""stock"":40}]"
"Potato (Old) (आलू)","Vegetables",23,30,"250g",100,"https://SubziQuick Express Harvest.in/assets/potato-DfwNLs65.webp","Premium quality regular use potatoes. Handpicked for consistency, ideal for daily curries and sabzi.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":15,""stock"":50},{""weight"":""1 kg"",""price"":23,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":44,""stock"":40}]"
"Onion (प्याज़)","Vegetables",27,35,"250g",100,"https://SubziQuick Express Harvest.in/assets/onion-B0HHN2uv.webp","Premium Nashik/Shajapur onions with a sharp flavor and long shelf life. Hand-sorted for premium quality.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":15,""stock"":50},{""weight"":""1 kg"",""price"":27,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":51,""stock"":40}]"
"Ginger (अदरक)","Vegetables",110,143,"250g",100,"https://SubziQuick Express Harvest.in/assets/ginger5-DHfONM6t.webp","Fresh aromatic ginger to boost your immunity and tea flavor. 100% natural, no artificial cleaners.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":33,""stock"":40},{""weight"":""500g"",""price"":61,""stock"":50},{""weight"":""1 kg"",""price"":110,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":209,""stock"":40}]"
"Garlic (लहसुन)","Vegetables",190,250,"250g",100,"https://SubziQuick Express Harvest.in/assets/lassun-kMEmWKTJ.webp","Spicy large garlic cloves sourced from the best MP farms. Perfect for authentic tadkas and health.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":57,""stock"":40},{""weight"":""500g"",""price"":105,""stock"":50},{""weight"":""1 kg"",""price"":190,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":361,""stock"":40}]"
"Radish (मूली)","Vegetables",25,33,"1 bundle",100,"https://SubziQuick Express Harvest.in/assets/Radish-DzQlK11M.webp","Crunchy and fresh white Mooli. Perfect for salads and parathas. Sourced daily for maximum crispness.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""1 bundle"",""price"":25,""stock"":50}]"
"Carrot (गाजर)","Vegetables",30,39,"250g",100,"https://SubziQuick Express Harvest.in/assets/carrots-D5ODYgpt.webp","Sweet red carrots, rich in Vitamin A. Handpicked from local Bhopal gardens for peak sweetness.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":17,""stock"":50},{""weight"":""1 kg"",""price"":30,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":57,""stock"":40}]"
"Beetroot (चुकंदर)","Vegetables",65,85,"250g",100,"https://SubziQuick Express Harvest.in/assets/saljam-Dfgaz45E.webp","Iron-rich fresh beetroot. Earthy flavor and vibrant color, perfect for healthy juices and salads.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":20,""stock"":40},{""weight"":""500g"",""price"":36,""stock"":50},{""weight"":""1 kg"",""price"":65,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":124,""stock"":40}]"
"Colocasia (अरबी)","Vegetables",80,104,"250g",100,"https://SubziQuick Express Harvest.in/assets/Colocasia-CkGgjPnF.webp","Fresh and tender Arbi. Selected for its smooth texture and ease of cooking. Great for dry sabzi.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":24,""stock"":40},{""weight"":""500g"",""price"":44,""stock"":50},{""weight"":""1 kg"",""price"":80,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":152,""stock"":40}]"
"Peanut (मूंगफली)","Vegetables",200,260,"250g",100,"https://SubziQuick Express Harvest.in/assets/Peanut-Dif3jT_T.webp","Fresh raw peanuts with shells. High protein snack, perfect for roasting or boiling.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":60,""stock"":40},{""weight"":""500g"",""price"":110,""stock"":50},{""weight"":""1 kg"",""price"":200,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":380,""stock"":40}]"
"Desi Tomato (देसी टमाटर)","Vegetables",27,35,"250g",100,"https://SubziQuick Express Harvest.in/assets/tomato-Dbk6DB12.webp","Sour and juicy local tomatoes. Cleaned and ozone-washed. Essential for authentic Indian gravies.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":15,""stock"":50},{""weight"":""1 kg"",""price"":27,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":51,""stock"":40}]"
"Hybrid Tomato (हाइब्रिड टमाटर)","Vegetables",27,35,"250g",100,"https://SubziQuick Express Harvest.in/assets/HybridTomato-DTKexuIp.webp","Firm, thick-skinned tomatoes perfect for salads and sandwich slices. Long-lasting freshness and consistent taste.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":10,""stock"":40},{""weight"":""500g"",""price"":15,""stock"":50},{""weight"":""1 kg"",""price"":27,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":51,""stock"":40}]"
"Spicy Chilli (तीखी मिर्ची)","Vegetables",99,129,"250g",100,"https://SubziQuick Express Harvest.in/assets/SpicyChilli-D72zJt6_.webp","Super spicy green chillies for those who love heat. Sourced fresh to ensure maximum pungency and flavor.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":30,""stock"":40},{""weight"":""500g"",""price"":54,""stock"":50},{""weight"":""1 kg"",""price"":99,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":188,""stock"":40}]"
"Mild Chilli (फीकी मिर्ची)","Vegetables",99,129,"250g",100,"https://SubziQuick Express Harvest.in/assets/green_chilli-DA4l22T6.webp","Less spicy green chillies, ideal for pakodas and mild garnishing. Crisp and fresh from local Bhopal farms.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":30,""stock"":40},{""weight"":""500g"",""price"":54,""stock"":50},{""weight"":""1 kg"",""price"":99,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":188,""stock"":40}]"
"Capsicum (शिमला मिर्च)","Vegetables",49,64,"250g",100,"https://SubziQuick Express Harvest.in/assets/Capsicum-DoBwVOhb.webp","Crunchy, vibrant green capsicum. Perfect for stir-fries, pastas, and stuffing. Ozone-washed and chemical-free.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":15,""stock"":40},{""weight"":""500g"",""price"":27,""stock"":50},{""weight"":""1 kg"",""price"":49,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":93,""stock"":40}]"
"Coriander (धनिया)","Vegetables",80,104,"250g",100,"https://SubziQuick Express Harvest.in/assets/dhaniya-CWddj_si.webp","Freshly harvested aromatic coriander leaves. Essential for garnishing and making the perfect Bhopal-style chutney.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":24,""stock"":40},{""weight"":""500g"",""price"":44,""stock"":50},{""weight"":""1 kg"",""price"":80,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":152,""stock"":40}]"
"Fenugreek (मेथी)","Vegetables",23,30,"1 bundle",100,"https://SubziQuick Express Harvest.in/assets/Fenugreek-CZhIvb1R.webp","Fresh, bitter-sweet Methi leaves. Sourced daily to ensure zero wilting. Perfect for parathas and healthy curries.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""1 bundle"",""price"":23,""stock"":50},{""weight"":""2 bundles"",""price"":23,""stock"":50},{""weight"":""5 bundles"",""price"":23,""stock"":50}]"
"Spinach (पालक)","Vegetables",40,52,"1 bundle",100,"https://SubziQuick Express Harvest.in/assets/Spinach-BtlLMCW7.webp","Tender, iron-rich Palak leaves. Thoroughly cleaned and ready to cook. No cold storage, just farm-fresh goodness.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""1 bundle"",""price"":40,""stock"":50},{""weight"":""2 bundles"",""price"":40,""stock"":50},{""weight"":""5 bundles"",""price"":40,""stock"":50}]"
"Spring Onion (हरा प्याज़)","Vegetables",30,39,"1 gadi",100,"https://SubziQuick Express Harvest.in/assets/SpringOnion-wP7dDWIZ.webp","Crisp green stalks with a mild onion flavor. Adds a fresh crunch to your Chinese and Indian dishes.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""1 gadi"",""price"":30,""stock"":50},{""weight"":""2 gadi"",""price"":30,""stock"":50},{""weight"":""5 gadi"",""price"":30,""stock"":50}]"
"Broccoli (ब्रोकली)","Vegetables",85,111,"250g",100,"https://SubziQuick Express Harvest.in/assets/Broccoli-BLLs-nBl.webp","Premium exotic healthy greens. Nutrient-dense and fresh, ideal for salads and steam-cooking for a healthy diet.","Local Bhopal Farms (Sourced from Sehore, Raisen & Direct Kisan Contract Farms)","Keep refrigerated in vegetable crisper","[{""weight"":""250g"",""price"":26,""stock"":40},{""weight"":""500g"",""price"":47,""stock"":50},{""weight"":""1 kg"",""price"":85,""stock"":60},{""weight"":""2 kg (Saver Pack)"",""price"":162,""stock"":40}]"
