SubziQuick (subziquick.in) - Master SEO & Keyword Research Audit Report,,,
Generated For,SubziQuick Executive Review / Management,,
Target Market,"Bhopal Hyperlocal (Bhopal MP - 462043, 462016, 462026, 462001, etc.)",,
Primary Domain,"https://subziquick.in (200 OK, SSL Active)",,
Audit Date,10 Sept 2026,,
,,,
Metric / Dimension,Current Status,Target Goal (90 Days),Key Action
Organic Traffic (Bhopal),Initial / Pre-indexing stage,"15,000+ monthly visits",Request indexing for 216 sitemap URLs
Google Search Console Health,Verified (Primary domain subziquick.in),100% Valid indexed pages,Submit sitemap.xml & monitor crawl
Indexed URLs in Sitemap,216 URLs (Clean canonical),300+ URLs with locality pages,Maintain daily sitemap freshness
Core Web Vitals Performance,Score: 95+ (Desktop/Mobile Next.js 16),Keep > 90,Edge CDN caching via Vercel
Structured Data / Schemas,"GroceryStore, Product, FAQ, Breadcrumbs",100% Rich Results in SERP,Test via Google Rich Results Tool
Google Business Profile (Maps),Needs Setup / Claiming,Top 3 Map Pack rank in Bhopal,"Register listing for Amrai, Bagsewaniya"
Competitor Advantage,"Zero platform fee, Ozone wash, Sub-15m",Brand market leader in MP,Target competitor gap keywords
